,season_idx,episode_idx,character,utterance
0,0,0,DEFAULT,Winter is Coming Lyrics EPISODE 1 - WINTER IS COMING
1,0,0,SCENE,"[First scene opens with three Rangers riding through a tunnel, leaving the Wall, and going into the woods. (Eerie music in background) One Ranger splits off and finds a campsite full of mutilated bodies, including a child hanging from a tree branch. A birds-eye view shows the bodies arranged in a shield-like pattern. The Ranger rides back to the other two.]"
2,0,0,WAYMAR ROYCE,"What d’you expect? They’re savages. One lot steals a goat from another lot and before you know it, they’re ripping each other to pieces."
3,0,0,WILL,"I’ve never seen wildlings do a thing like this. I’ve never seen a thing like this, not ever in my life."
4,0,0,WAYMAR ROYCE,How close did you get?
5,0,0,WILL,Close as any man would.
6,0,0,GARED,We should head back to the wall.
7,0,0,ROYCE,Do the dead frighten you?
8,0,0,GARED,Our orders were to track the wildlings. We tracked them. They won’t trouble us no more.
9,0,0,ROYCE,You don’t think he’ll ask us how they died? Get back on your horse.
10,0,0,SCENE,[GARED grumbles.]
11,0,0,WILL,Whatever did it to them could do it to us. They even killed the children.
12,0,0,ROYCE,"It’s a good thing we’re not children. You want to run away south, run away. Of course, they will behead you as a deserter … If I don’t catch you first. Get back on your horse. I won’t say it again."
13,0,0,SCENE,"[WILL glares, but obeys. Sometime later, the three Rangers return to the campsite, which is now completely cleared.]"
14,0,0,ROYCE,Your dead men seem to have moved camp.
15,0,0,WILL,They were here.
16,0,0,GARED,See where they went.
17,0,0,SCENE,"[The three look around, swords drawn. They hear the wind and eerie calls. GARED finds a red cloth in the snow.]"
18,0,0,ROYCE,What is it?
19,0,0,GARED,It’s …
20,0,0,SCENE,"[As he speaks, a CREATURE with glowing blue eyes rises behind ROYCE. ROYCE turns, the CREATURE strikes. The scene shifts to WILL, who hears a man crying out. The three horses stampede past him. He turns and sees someone standing very still in the distance. The figure turns – it’s the child who had been suspended in the tree, now with glowing blue eyes. WILL turns and runs. GARED is also fleeing, and we hear strange growls and catch glimpses of the CREATURE. Both terrified RANGERS stop, some distance apart, to catch their breath. WILL sees a CREATURE behead GARED. WILL sinks to his knees and the CREATURE tosses GARED’S head to him.]"
21,0,0,SCENE,[Blackout] TITLE SEQUENCE
22,0,0,SCENE,"[Riders from Winterfell come up behind a dazed WILL. The scene shifts to the castle, where BRAN is practicing archery and getting frustrated, under the eyes of JON SNOW and ROBB STARK. JON pats BRAN’S shoulder.]"
23,0,0,JON,Go on. Father’s watching.
24,0,0,SCENE,[We see NED and CATELYN STARK watching from above.]
25,0,0,JON,And your mother.
26,0,0,SCENE,"[Scene shifts to needlework practice with the girls inside the castle.] SEPTA MORDANE (to SANSA): Fine work, as always. Well done."
27,0,0,SANSA,Thank you.
28,0,0,SEPTA MORDANE,I love the detail that you’ve managed to get in this corners. … Quite beautiful … the stitching …
29,0,0,SCENE,"[As she murmurs to SANSA about the embroidery, ARYA struggles with her needlework and listens to the arrows hitting and the male laughter outside.]"
30,0,0,SCENE,"[Outside, BRAN tries and misses again. Everyone laughs.]"
31,0,0,NED,"And which one of you was a marksman at ten? Keep practicing, Bran. Go on."
32,0,0,JON,"Don’t think too much, Bran."
33,0,0,ROBB,Relax your bow arm.
34,0,0,SCENE,"[BRAN pulls the arrow back. An arrow hits the bullseye. BRAN (still with his arrow), JON, and ROBB turn in surprise to see ARYA, who curtsies after her perfect shot. ROBB and JON laugh as Bran takes out after ARYA.]"
